Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.050015919,0.051377655,0.050015919,0.050015919,806400,0,0
1962-01-03,0.049273152,0.049273152,0.048158817,0.048901577,1574400,0,0
1962-01-04,0.04902556,0.049644525,0.04902556,0.049273148,844800,0,0
1962-01-05,0.049273136,0.049892101,0.048035008,0.048158802,1420800,0,0
1962-01-08,0.047787438,0.047787438,0.046735094,0.047663644,2035200,0,0
1962-01-09,0.047663653,0.048777794,0.04729227,0.048530206,960000,0,0
1962-01-10,0.048530189,0.049458742,0.048035019,0.048777778,1612800,0,0
1962-01-11,0.048777779,0.049273148,0.048530191,0.049273148,614400,0,0
1962-01-12,0.049273152,0.049273152,0.048406406,0.048901577,883200,0,0
1962-01-15,0.048777799,0.048777799,0.048282628,0.048406422,614400,0,0
1962-01-16,0.048282587,0.048282587,0.047477832,0.047539823,1113600,0,0
1962-01-17,0.047539842,0.047539842,0.046054319,0.046054319,1574400,0,0
1962-01-18,0.046054294,0.046301879,0.044939961,0.045125745,2649600,0,0
1962-01-19,0.045558959,0.046549499,0.045558959,0.046549499,1459200,0,0
1962-01-22,0.046549483,0.04704466,0.04605431,0.046920866,1075200,0,0
1962-01-23,0.046797083,0.046797083,0.045930337,0.045930337,768000,0,0
1962-01-24,0.045930341,0.046054325,0.044568608,0.045435164,2611200,0,0
1962-01-25,0.04543521,0.046178163,0.045063827,0.045063827,1574400,0,0
1962-01-26,0.045063779,0.045063779,0.044321017,0.044568606,1574400,0,0
1962-01-29,0.044568606,0.0446924,0.044444812,0.044568606,307200,0,0
1962-01-30,0.044568625,0.044940008,0.04438284,0.04438284,1574400,0,0
1962-01-31,0.044568638,0.046178147,0.044568638,0.046178147,1766400,0,0
1962-02-01,0.046549499,0.047292261,0.046549499,0.046549499,1420800,0,0
1962-02-02,0.046549492,0.047044668,0.04580654,0.047044668,1152000,0,0
1962-02-05,0.047044668,0.047044668,0.046673286,0.047044668,384000,0,0
1962-02-06,0.047044648,0.047044648,0.046425678,0.046425678,691200,0,0
1962-02-07,0.046425684,0.046673272,0.046425684,0.046673272,192000,0,0
1962-02-08,0.046673291,0.047044674,0.046178115,0.046797086,768000,0,0
1962-02-09,0.04679708,0.047044668,0.046549492,0.047044668,729600,0,0
1962-02-12,0.047044654,0.047168445,0.046673272,0.046673272,307200,0,0
1962-02-13,0.046673272,0.04692086,0.046673272,0.046673272,652800,0,0
1962-02-14,0.046673292,0.046673292,0.045806546,0.045806546,652800,0,0
1962-02-15,0.045806536,0.046178106,0.045558948,0.045558948,652800,0,0
1962-02-16,0.045558948,0.046425694,0.045558948,0.045558948,1190400,0,0
1962-02-19,0.045930299,0.046301868,0.045930299,0.046301868,345600,0,0
1962-02-20,0.046301904,0.046425698,0.045930335,0.046054319,460800,0,0
1962-02-21,0.046054324,0.046425703,0.045806546,0.045806546,691200,0,0
1962-02-23,0.045806549,0.046425707,0.045311373,0.045311373,1036800,0,0
1962-02-26,0.045311364,0.046425698,0.045063776,0.046054319,768000,0,0
1962-02-27,0.046054283,0.046425662,0.046054283,0.046301868,460800,0,0
1962-02-28,0.046178116,0.046178116,0.04531137,0.045435164,652800,0,0
1962-03-01,0.045435185,0.045435185,0.044568628,0.045187596,19545600,0,0
1962-03-02,0.045311365,0.045682747,0.045311365,0.045682747,806400,0,0
1962-03-05,0.045682798,0.045682798,0.045063827,0.045063827,652800,0,0
1962-03-06,0.045558952,0.046054319,0.045558952,0.046054319,883200,0,0
1962-03-07,0.046054325,0.046054325,0.045435164,0.045435164,691200,0,0
1962-03-08,0.045435154,0.04593033,0.04531136,0.045558948,883200,0,0
1962-03-09,0.045559004,0.045744789,0.044692447,0.045063827,1113600,0,0
1962-03-12,0.045558952,0.046054319,0.045558952,0.046054319,998400,0,0
1962-03-13,0.046415665,0.04678946,0.046415665,0.04678946,1344000,0.001563,0
1962-03-14,0.046789469,0.04697646,0.046602666,0.046851862,1689600,0,0
1962-03-15,0.046851829,0.046976427,0.046602633,0.046602633,883200,0,0
1962-03-16,0.046602633,0.046789436,0.046602633,0.046602633,768000,0,0
1962-03-19,0.046602666,0.047101059,0.046602666,0.046851862,921600,0,0
1962-03-20,0.046851865,0.047350258,0.046851865,0.047350258,1305600,0,0
1962-03-21,0.047599454,0.048222446,0.047599454,0.047973249,2188800,0,0
1962-03-22,0.048097835,0.048720826,0.048097835,0.04847163,1344000,0,0
1962-03-23,0.048845435,0.049717817,0.048845435,0.049344022,1497600,0,0
1962-03-26,0.049344027,0.049717822,0.04859625,0.048720848,1420800,0,0
1962-03-27,0.048471624,0.048471624,0.04809783,0.048347026,844800,0,0
1962-03-28,0.048347044,0.048347044,0.047973249,0.047973249,460800,0,0
1962-03-29,0.047973236,0.048596227,0.047848638,0.048097834,1036800,0,0
1962-03-30,0.048097844,0.048097844,0.047350258,0.047350258,1382400,0,0
1962-04-02,0.047350261,0.048222446,0.047101064,0.047973249,1152000,0,0
1962-04-03,0.047973277,0.048222474,0.046104117,0.0464781,1228800,0,0
1962-04-04,0.046851904,0.047724089,0.046851904,0.047038704,1459200,0,0
1962-04-05,0.047038673,0.047537066,0.046851873,0.047101069,1036800,0,0
1962-04-06,0.047350233,0.04809782,0.047350233,0.047848623,729600,0,0
1962-04-09,0.047973249,0.048347044,0.047973249,0.047973249,537600,0,0
1962-04-10,0.047973249,0.048347044,0.047973249,0.047973249,614400,0,0
1962-04-11,0.047973244,0.04822244,0.046664871,0.046851862,883200,0,0
1962-04-12,0.046602664,0.046602664,0.045854887,0.045979485,1075200,0,0
1962-04-13,0.045979489,0.047350258,0.045231902,0.047350258,1804800,0,0
1962-04-16,0.047350269,0.048097856,0.047225671,0.047474865,2227200,0,0
1962-04-17,0.047474886,0.04797328,0.047101094,0.047724083,1152000,0,0
1962-04-18,0.047724053,0.047973249,0.047599454,0.047973249,691200,0,0
1962-04-19,0.047973255,0.048035651,0.047724059,0.048035651,806400,0,0
1962-04-23,0.048035632,0.048596227,0.047911034,0.048097834,691200,0,0
1962-04-24,0.04809783,0.048347026,0.047724035,0.048347026,883200,0,0
1962-04-25,0.048222476,0.048222476,0.047724083,0.047724083,422400,0,0
1962-04-26,0.047724061,0.047973258,0.047101073,0.047474865,806400,0,0
1962-04-27,0.047474856,0.047973249,0.047225662,0.047973249,883200,0,0
1962-04-30 00:00:00-04:00,0.047474847,0.047474847,0.045854885,0.046104081,1382400,0,0
1962-05-01 00:00:00-04:00,0.046104065,0.046851842,0.045854868,0.046727244,1574400,0,0
1962-05-02 00:00:00-04:00,0.046976449,0.047350244,0.046976449,0.047287848,1305600,0,0
1962-05-03 00:00:00-04:00,0.047287837,0.047848623,0.047101037,0.047848623,844800,0,0
1962-05-04 00:00:00-04:00,0.04784866,0.048035654,0.047474865,0.047474865,537600,0,0
1962-05-07 00:00:00-04:00,0.04747483,0.047848624,0.04697644,0.04697644,691200,0,0
1962-05-08 00:00:00-04:00,0.046976462,0.04759945,0.046415675,0.046415675,1190400,0,0
1962-05-09 00:00:00-04:00,0.046353506,0.046353506,0.045481127,0.045481127,1267200,0,0
1962-05-10 00:00:00-04:00,0.045481093,0.045605691,0.044858105,0.045107301,1920000,0,0
1962-05-11 00:00:00-04:00,0.045107329,0.045481121,0.043238169,0.043612152,2380800,0,0
1962-05-14 00:00:00-04:00,0.04361213,0.043861327,0.041742971,0.042864352,3187200,0,0
1962-05-15 00:00:00-04:00,0.043113568,0.045481118,0.043113568,0.044982728,2534400,0,0
1962-05-16 00:00:00-04:00,0.044982703,0.045356495,0.044858105,0.045107301,1612800,0,0
1962-05-17 00:00:00-04:00,0.045107303,0.045418892,0.04460891,0.04460891,2496000,0,0
1962-05-18 00:00:00-04:00,0.044608911,0.044733509,0.043985923,0.044733509,806400,0,0
1962-05-21 00:00:00-04:00,0.044733534,0.044858132,0.044484337,0.044671141,960000,0,0
1962-05-22 00:00:00-04:00,0.044671089,0.044671089,0.043238119,0.043362908,1420800,0,0
1962-05-23 00:00:00-04:00,0.04330054,0.04330054,0.042615156,0.042864352,2342400,0,0
1962-05-24 00:00:00-04:00,0.042615142,0.042615142,0.041992154,0.041992154,2688000,0,0
1962-05-25 00:00:00-04:00,0.041992174,0.042365966,0.041119989,0.041493781,2841600,0,0
1962-05-28 00:00:00-04:00,0.041431384,0.041431384,0.03775565,0.039313219,4377600,0,0
1962-05-29 00:00:00-04:00,0.039313207,0.040247597,0.034889696,0.040247597,7411200,0,0
1962-05-31 00:00:00-04:00,0.040995406,0.042116788,0.040995406,0.041867591,4761600,0,0
1962-06-01 00:00:00-04:00,0.041867564,0.042241358,0.040870781,0.041369174,2688000,0,0
1962-06-04 00:00:00-04:00,0.041119998,0.041119998,0.038129456,0.038129456,3456000,0,0
1962-06-05 00:00:00-04:00,0.038254027,0.041119968,0.038254027,0.039624602,2688000,0,0
1962-06-06 00:00:00-04:00,0.039749206,0.040496984,0.039749206,0.040123001,1344000,0,0
1962-06-07 00:00:00-04:00,0.040122999,0.040372386,0.0399984,0.040247597,691200,0,0
1962-06-08 00:00:00-04:00,0.040247595,0.04111997,0.040247595,0.04111997,1420800,0,0
1962-06-11 00:00:00-04:00,0.041421363,0.041672386,0.041044829,0.04117034,2304000,0.001563,0
1962-06-12 00:00:00-04:00,0.041170274,0.041232932,0.039287418,0.03947578,2227200,0,0
1962-06-13 00:00:00-04:00,0.039475824,0.039915016,0.038785416,0.038973588,2726400,0,0
1962-06-14 00:00:00-04:00,0.038973564,0.039161926,0.038408861,0.038408861,2419200,0,0
1962-06-15 00:00:00-04:00,0.038408866,0.040040508,0.038220501,0.040040508,3878400,0,0
1962-06-18 00:00:00-04:00,0.040040498,0.040103351,0.039412944,0.039852329,2188800,0,0
1962-06-19 00:00:00-04:00,0.03966399,0.03966399,0.039287459,0.039287459,691200,0,0
1962-06-20 00:00:00-04:00,0.039287441,0.039663972,0.038722545,0.038722545,2457600,0,0
1962-06-21 00:00:00-04:00,0.038722544,0.038785395,0.038157841,0.038220499,1651200,0,0
1962-06-22 00:00:00-04:00,0.038220509,0.038220509,0.037655808,0.037655808,1536000,0,0
1962-06-25 00:00:00-04:00,0.037655781,0.037718439,0.036212306,0.037279055,5721600,0,0
1962-06-26 00:00:00-04:00,0.037279053,0.037781288,0.036902519,0.037153542,2227200,0,0
1962-06-27 00:00:00-04:00,0.037153537,0.037279048,0.036839857,0.037028026,2496000,0,0
1962-06-28 00:00:00-04:00,0.037530083,0.038785383,0.037530083,0.038785383,2918400,0,0
1962-06-29 00:00:00-04:00,0.038785392,0.039036414,0.038283349,0.038408861,2150400,0,0
1962-07-02 00:00:00-04:00,0.038408861,0.039601311,0.03828335,0.039412949,1459200,0,0
1962-07-03 00:00:00-04:00,0.039412991,0.039664011,0.039036457,0.039664011,1612800,0,0
1962-07-05 00:00:00-04:00,0.039663964,0.039914987,0.039161922,0.039852329,1228800,0,0
1962-07-06 00:00:00-04:00,0.039852355,0.039852355,0.039161948,0.039287459,844800,0,0
1962-07-09 00:00:00-04:00,0.039538465,0.040040508,0.039538465,0.040040508,1689600,0,0
1962-07-10 00:00:00-04:00,0.040166017,0.040668255,0.040166017,0.040166017,2304000,0,0
1962-07-11 00:00:00-04:00,0.040166026,0.040417049,0.039475811,0.040417049,1843200,0,0
1962-07-12 00:00:00-04:00,0.040417038,0.041170296,0.039914993,0.040793762,1728000,0,0
1962-07-13 00:00:00-04:00,0.040668261,0.040668261,0.040166023,0.040605407,921600,0,0
1962-07-16 00:00:00-04:00,0.040605396,0.040919269,0.040479884,0.040668249,806400,0,0
1962-07-17 00:00:00-04:00,0.040668264,0.040919284,0.040417049,0.040417049,345600,0,0
1962-07-18 00:00:00-04:00,0.040166053,0.040166053,0.039852372,0.040103395,1612800,0,0
1962-07-19 00:00:00-04:00,0.040103352,0.040542544,0.039914988,0.040479884,921600,0,0
1962-07-20 00:00:00-04:00,0.040479886,0.04091927,0.040479886,0.040730909,1036800,0,0
1962-07-23 00:00:00-04:00,0.04079377,0.041044793,0.04079377,0.040919282,729600,0,0
1962-07-24 00:00:00-04:00,0.040919284,0.041107456,0.040417049,0.040417049,691200,0,0
1962-07-25 00:00:00-04:00,0.040417082,0.04117034,0.040417082,0.04117034,652800,0,0
1962-07-26 00:00:00-04:00,0.041421339,0.041672362,0.041421339,0.041421339,499200,0,0
1962-07-27 00:00:00-04:00,0.041421302,0.041734982,0.04129579,0.041734982,460800,0,0
1962-07-30 00:00:00-04:00,0.041735007,0.042174391,0.041421326,0.042174391,998400,0,0
1962-07-31 00:00:00-04:00,0.04242541,0.043052964,0.04242541,0.043052964,1881600,0,0
1962-08-01 00:00:00-04:00,0.043052973,0.043052973,0.041923374,0.042299908,1305600,0,0
1962-08-02 00:00:00-04:00,0.042299933,0.04317851,0.041923398,0.04317851,1612800,0,0
1962-08-03 00:00:00-04:00,0.043178482,0.043429505,0.041358476,0.043429505,537600,0,0
1962-08-06 00:00:00-04:00,0.043429513,0.043492364,0.042425425,0.042676445,921600,0,0
1962-08-07 00:00:00-04:00,0.042676434,0.042676434,0.042174391,0.042174391,576000,0,0
1962-08-08 00:00:00-04:00,0.042048883,0.042048883,0.04179786,0.042048883,652800,0,0
